;group1;group2;group3;x1;x2;x3;x4;c1;c2;c3;c4;y1;y2;y3;y4
18;young;male;C;-1.773750478;-1.341255231;-2.252567636;-0.821974672;-1.480305111;2.148588549;4.452539888;-0.720850619;-4.034222924;2.776361201;-0.868214201;-0.685939009
19;young;female;B;0.348172139;1.096870186;1.713845054;0.537663935;-1.031788509;0.862337873;1.241892405;-1.278383368;-1.880808753;1.858193995;-0.647528528;1.048672533
20;middle;male;B;-0.941737575;-1.408676269;-1.641506955;-0.648722227;-1.62872616;0.52232871;-1.161253053;0.455275821;-1.894853753;-0.085253347;-0.091547407;-0.639345243
21;old;male;A;0.96879371;1.67606969;1.569661278;1.110112834;0.11309825;-0.297272698;1.316188403;0.722129786;1.49280448;0.840985231;-0.514874336;0.829534571
22;young;male;B;-1.371546386;-2.026065381;-0.413017144;-3.136281062;-2.664623353;0.784070731;1.008057566;-1.361653062;-4.128232733;2.796138026;0.756106964;1.664061702
23;old;male;A;1.775641456;1.943259334;1.19761612;3.086094541;-0.535155999;-0.483381235;-0.733088007;0.820815946;-0.072032612;0.659212333;1.273331971;-1.430951142
24;young;female;A;-2.129056189;-1.895313093;-2.414378732;0.01628564;1.078154217;0.229602824;0.517679772;0.506769038;-1.712705058;1.096322346;0.222811678;-0.886412746
25;young;female;A;-0.619587426;0.726772069;0.417154104;1.782693838;1.07465325;1.170262496;1.609837921;-0.664373768;-1.785993281;0.736612417;-0.48922253;1.084626144
26;young;female;B;1.114167316;-0.349104591;-0.590926384;-0.654035974;-0.539378265;-0.232736493;-0.392886527;-0.470045675;0.133086525;0.800625406;0.383277115;-1.128425053
27;middle;female;B;-0.618137044;0.27511996;-1.224464034;-1.949891197;-0.842864248;1.426212745;2.456860158;-0.012322805;-2.138876753;1.539208709;-0.523583999;-0.023408194
28;young;female;C;-1.523230666;0.279110844;1.772924725;-0.484252876;0.360363488;-0.765908487;-3.227557477;-0.071581712;-3.137190889;2.75524349;-0.31117033;-0.048082112
29;middle;female;C;0.220398117;0.083435517;0.375483475;0.760638029;0.296481161;0.694496593;1.700732428;-0.365337277;0.226892833;0.253059548;0.442392633;-0.426046187
30;young;female;A;0.72211388;-1.560662039;-2.047997696;-1.299447449;0.20785664;0.335230397;0.501260812;-1.870665828;0.581959452;1.908916719;-0.47202187;-0.388984349
31;middle;male;C;-0.379996703;-2.134894301;-2.191783221;-2.184541099;-1.858278174;1.186209904;1.422744301;1.479023774;-1.973040419;0.220719006;0.839483786;-2.62270167
32;young;female;B;0.155498751;-0.080580489;0.937598649;-0.039920497;-0.260968576;-0.486446659;-1.57107823;0.630992622;-1.4114508;0.580689527;-0.723139865;-0.930754647
33;young;female;B;-2.176115026;-1.917729574;-1.11504976;-1.195062349;0.570476309;0.719994503;2.638589218;0.074895256;-2.166366962;2.318983032;-0.070899392;1.40490988
34;young;female;C;-0.078515553;0.174369419;-0.260762331;-0.212934954;0.111882168;-0.379307516;0.210521266;-0.369924961;-1.117996095;1.595637881;1.306507105;0.820776578
35;young;male;B;0.494064253;2.370358795;2.678168532;2.849813638;1.688357761;-1.012468862;-0.927792347;-0.477718512;-0.563742535;1.328242829;-0.400247123;1.165708508
36;middle;female;B;1.376738643;1.510873117;2.008418343;2.002564889;-0.028362286;-1.083289734;-2.660654682;-0.522176033;1.123659209;-1.480782091;-1.360012754;0.779894866
37;middle;male;C;1.125030729;1.808810406;2.690134466;1.324262;1.329777782;0.507233216;2.17101342;-0.430958361;0.432517502;-0.835506646;0.730952865;-0.134620622
38;young;male;A;-0.441945239;0.269132864;-0.463395317;0.769641542;-0.662116057;-0.530008395;0.222157317;-1.755388205;-1.879021216;1.789470468;0.065710505;1.280014518
39;old;female;C;-0.026689777;-0.816918656;0.189200765;0.427378726;-0.36266579;1.1275394;1.662772306;-1.880500438;-1.362874155;0.573396811;-1.169841947;0.010386274
40;old;male;C;-0.544056069;0.130955889;0.718457222;-0.162368413;0.848542405;0.290321108;0.641350697;-0.054531973;-1.718763957;0.206487345;-0.712893618;-0.453761491
41;young;female;B;0.97893197;3.873872235;3.973046053;5.768640191;1.380313129;-2.278235118;-4.869931813;-1.304272461;-1.159750963;0.463924551;0.373456115;-0.022242949
42;middle;male;A;0.662212664;0.325209269;1.594474251;-0.531799322;-0.062940993;-2.828347274;-5.719059408;-0.664004907;-0.57416631;1.022426252;-0.144825472;1.189121898
43;young;female;B;-0.623172059;0.888920646;1.479495364;2.815389393;1.572904935;-0.039678217;-1.677098942;-1.405375839;-1.234334246;2.980905573;0.755839324;-1.911904371
44;young;male;C;1.209594221;0.695683482;0.928588646;1.961963556;1.452799241;-1.386246705;-0.830171568;-0.850693423;-1.54855958;1.17335209;-0.262849101;-0.638437326
45;young;male;A;0.170495449;-3.536962726;-2.993952008;-2.057004248;-0.763512918;2.930777779;5.277379864;-0.41614411;-0.938357405;2.849875896;0.297990956;-0.302425917
46;young;female;C;-1.480690023;-1.831402263;-1.25761534;-1.53480937;-0.74188654;0.902707814;0.612457787;-0.315244835;-2.222274858;2.050834704;-0.418654411;-0.323748783
47;young;female;B;-0.133694042;-0.931599622;-2.597024179;0.532195116;1.638414009;-0.454546478;-1.352687975;-0.545282017;-1.74575453;-0.959883376;-1.546438692;1.413861975
48;old;male;A;-0.893134446;-1.967740749;-1.995809574;-2.366339401;0.615964224;0.368287228;-0.169852684;0.847908865;-1.397953926;1.870228805;-0.126287404;0.061232209
49;middle;male;A;-0.961243043;-0.048219184;-1.208179167;1.45835185;-1.283421307;0.653879723;1.708220201;-2.201962257;-2.905629716;-0.580929604;1.568353165;0.80522722
50;young;male;A;-0.552192508;1.660508531;0.979161063;0.456083091;1.210385087;-0.187349983;1.930679779;1.500937659;-2.254719755;0.955919809;-1.139119151;2.630540638
51;middle;male;B;-1.80474553;-2.150491892;-1.62031118;-4.177719805;0.067171068;1.023385256;1.267829032;-0.736205027;-1.926872172;-0.77185399;0.676371281;-1.237442727
52;young;female;C;-1.269023173;-0.741992364;-1.807463689;-1.20833094;0.802598354;-1.397586909;-3.851631584;0.870188169;-2.53172024;-1.809569246;-0.182888824;1.093364361
53;young;female;C;-0.713935589;0.087028608;0.974012665;0.972948515;-0.258580491;-1.417057434;-3.071953278;0.029978168;-1.744763174;-0.708103011;0.313535897;1.320642142
54;young;female;B;-0.551311494;-1.319294434;-1.584030186;-0.336063078;1.329621721;-0.10658238;-0.557669832;-1.559437672;-1.096378955;0.664958227;-0.991363924;0.002796118
55;young;female;C;-0.643722947;-1.641242467;-1.282167127;-1.753262478;-0.63195009;1.021130906;1.889603683;1.05658554;-2.469480693;3.540761738;0.847086554;0.693669737
56;young;male;B;-0.214103765;0.009837476;-0.55426518;-0.369363605;-1.886453343;1.82890736;3.373831202;0.31206601;-1.858597069;3.078325604;-1.965625291;0.365295931
57;old;male;C;1.019101701;1.44968707;1.855183781;2.466640887;1.773868333;-0.770755226;-2.565909144;1.140433448;-1.782935237;1.006244063;-0.399265535;-0.090830221
58;middle;female;C;-2.017163077;-2.295761424;-2.7532608;-1.486738767;-1.333596304;0.427523859;1.432965317;0.461070937;-3.922985164;2.136156382;-0.153023117;0.106033792
59;young;female;C;0.160185698;0.792574061;0.693756811;-0.836317543;-2.099500079;1.366659142;3.31847916;-1.871281499;-0.716230966;2.722179089;-0.959842039;1.194349279
60;young;male;B;-0.575214685;0.166806677;-1.326738929;0.803567503;1.00674669;0.162998467;-1.029417081;2.064828809;-2.575574059;-0.092187302;0.226581372;-2.474368849
61;old;female;B;-0.060238202;-1.321236386;-0.801247482;0.110625707;-1.175485881;0.482061359;0.068571373;2.514436159;-0.780996527;0.259109652;0.263494178;0.236496244
62;young;male;C;0.590868168;0.448309261;-0.752434944;1.802155732;1.088501887;-1.382620134;-1.89211525;1.329652364;-1.63287498;1.79597949;-1.578175948;-0.818834561
63;old;male;B;0.305189482;-1.182703545;-1.436173581;-1.210705494;-0.75978999;0.59801809;0.198684576;-1.367579932;-2.389607365;1.279594341;-0.833516791;-1.267430719
64;young;female;C;0.076817883;-1.939607719;-2.296951666;-2.886686039;-0.667977915;-0.002183236;0.580030536;0.050967441;-2.284997991;0.888946896;-1.198438449;-1.008224704
65;middle;female;B;0.06558324;0.873884576;0.259590532;2.12678284;0.808493663;0.506739428;0.375642797;0.262582425;-0.433396389;0.155018496;-0.66112618;-0.080273609
66;middle;female;B;0.281464553;-0.079880891;1.093929266;0.655945038;-0.948893984;0.766866015;2.353251627;2.337106313;0.770359155;3.267963694;0.294466308;0.453434928
67;middle;female;A;-1.447495451;-1.780446673;-1.98529413;-1.386703431;0.549878166;1.16442191;2.323860165;0.591800755;-1.43277721;1.195099363;1.195078657;-1.105175783
68;old;female;A;0.221835546;1.28304741;1.74276106;0.600723235;1.69316547;0.191144018;2.335641844;0.055346239;-1.063598136;2.773989362;-0.882182571;-0.204114501
69;old;female;C;-0.746255395;-1.030296111;-0.309002433;0.735924774;1.248703902;1.726290478;3.768570541;-0.161187434;-1.369850501;2.095800822;0.125191417;2.390120007
70;old;male;A;-0.943216628;-1.770410241;-1.651338309;-2.144267929;-1.170851707;-0.234374629;-0.844332821;1.478415802;-0.312580025;-0.042905653;0.374806314;1.949443796
71;young;male;A;-1.286717974;-3.066803862;-3.463168346;-1.857289991;1.041580747;2.138363141;3.209635307;0.46136844;-1.539299931;1.955236508;-0.719549309;-0.880879252
72;middle;female;A;-0.541034566;-0.394606035;0.957083607;-1.494110166;0.43918514;-2.948336706;-6.34152663;-0.490464357;1.306683201;-2.011424927;-0.115717543;-1.412217377
73;middle;female;B;0.757888584;1.423531487;0.548477745;1.549631389;-0.759173848;0.903582661;2.872036864;-1.278965153;1.017677721;1.455142799;-0.941360345;-0.485455177
74;old;male;B;-1.031905061;0.091220701;0.807505821;-0.364495087;0.037560652;2.604278597;3.966557406;0.292306201;-1.417726385;4.069984104;0.172616067;-0.786018776
75;young;female;C;0.557818141;1.277299083;0.00356188;0.350350419;-0.710620736;-1.259155438;-2.974897133;-0.418986767;0.464296318;-0.785043447;1.457200839;0.554221863
76;old;male;B;0.720682;2.171603602;2.373083431;2.771300031;0.971856319;-0.031744607;0.019817834;-0.238037822;0.010201972;3.264711531;0.669781966;-0.551300995
77;young;male;A;-0.007348869;1.116765562;2.763632859;0.060656558;-0.35078467;-2.101555027;-3.921641131;-0.739688459;-2.433470293;0.296221147;-0.647802653;1.12490532
78;middle;male;C;0.279960603;0.362458196;0.383444552;0.787882203;0.208673042;-0.654967937;0.417521961;-0.491205769;-1.25899092;0.909564304;0.946008609;-1.101415828
79;young;male;C;1.19849264;2.51021891;0.519039045;2.27669518;-0.903723738;0.949518796;3.926063167;-0.033762955;-0.484413504;1.266346804;-2.16227705;0.095110808
80;young;male;A;2.646741793;0.868894407;0.642575522;0.068453349;-0.303050457;0.440552241;0.05786008;1.778554359;1.159259504;0.543986225;0.01453781;-0.575638752
81;young;female;A;-1.438043092;-1.556274448;-2.277064587;-0.872978654;0.350711695;1.642473858;2.192586779;-0.299082903;-2.841618894;0.260820302;-0.596588382;-0.223264247
82;middle;male;C;0.016761363;0.272162497;-0.394191086;0.408690131;0.952705179;0.445653463;1.73663312;-1.146087329;-1.914644026;0.660106513;0.805877802;-2.492607757
83;old;female;C;0.437615258;1.500394419;1.404253616;1.236117625;2.039541584;-0.378515796;-0.93151701;1.831231677;0.914076671;0.293965054;0.098401818;1.39869275
84;young;male;A;1.581694856;-0.153031506;0.138474139;-1.22159432;0.1297604;-0.989431189;-2.312725938;2.025335879;0.19256324;-0.184047203;-0.299326362;-0.248815288
85;old;female;B;-0.945460725;0.56652211;0.344060335;0.433123811;-0.539509591;0.650993678;2.014920026;0.928928261;-1.714345872;0.718129613;1.233091251;-0.014794907
86;old;female;C;-0.300357623;-1.810341701;-0.400008705;-1.842296121;-0.110786336;-1.243352772;-2.817466153;0.660706208;-1.448478887;-0.063188194;2.182207386;-0.190047466
87;young;female;B;1.168168882;2.931434023;1.246138346;3.389646364;1.630095249;-0.507582095;-0.425589262;1.202945452;-2.517427349;0.357639871;-0.548969189;0.006957366
88;old;male;C;0.362049472;0.960122459;0.696349967;-0.231747833;-0.04799383;0.410583051;1.472981708;-1.450363168;0.356584381;0.640907941;0.706689091;-1.848353341
89;middle;female;C;-0.526157015;-1.648959439;-2.600052445;-0.961118808;0.691721553;0.897941437;0.048062132;-0.131355285;-0.278486389;0.061692277;0.751729219;0.869437997
90;young;female;A;0.34367927;1.079294037;0.220391112;1.933753712;-0.351218145;-0.447929002;0.899796978;0.288873995;0.690178758;0.620434684;-0.527652246;0.443997075
91;young;female;C;-0.247207355;-0.507429019;0.800708794;-2.305853106;-0.995287478;-0.24928137;-1.373620665;-1.292283637;-0.713445351;0.650016829;0.624422792;-0.281192336
92;middle;male;A;-0.883793313;0.823265907;0.571120824;0.143059362;0.532340615;-0.97217106;-2.184174371;0.179668709;-2.302701755;2.068785758;-0.445012353;2.668882713
93;old;female;C;-1.258294547;-1.858004276;-1.591310876;-0.289593722;-0.697226633;2.176563909;4.257717295;-0.788911135;-2.348604366;0.805674807;0.687524186;0.383287667
94;young;female;B;-0.85070966;-0.385598782;-0.076704215;-1.844710463;-0.280347837;-1.229965974;-3.009372642;0.781031045;-2.184464842;1.066863682;0.958996211;1.137070507
95;old;female;A;-1.270092822;0.508957998;-0.067222642;-0.155612622;-0.816663844;0.190861256;1.454441275;0.80292596;-1.873653811;1.293540692;-1.044056351;-0.675459059
96;old;female;B;-0.120100515;-1.190791391;-2.330064542;-2.207542491;-1.44989995;2.406734701;4.318090982;-0.199347305;0.047684075;3.180840332;-0.412689762;-1.620546859
97;middle;female;C;-0.009346138;0.657089992;-0.644758092;-0.51306322;0.9563322;0.411442482;0.066026368;-0.065786156;-3.02001375;-0.407892448;0.464706779;1.449453672
98;old;female;A;0.45144926;2.322973064;1.801500964;1.150620981;0.541601943;-1.506343651;-4.279722101;2.07323701;-1.068526167;-1.437628769;-0.350814583;0.540391006
99;middle;female;C;-1.330106737;1.652598484;0.753840053;0.230569161;0.194025523;2.011110493;5.272634587;-1.045957921;-1.176128438;2.672757365;0.891769368;0.677616878
100;middle;female;A;-1.217918798;-1.834562711;-0.894508247;-0.938043925;0.991797779;-0.472380545;-1.837939189;-0.191153148;-0.373140469;1.806789894;1.338755418;-0.850481903
101;old;female;B;1.081501437;1.821746875;2.634068178;1.449447791;0.847273986;-0.481940238;-0.983772438;1.3448824;0.764991898;0.915281555;-1.467323221;0.951951185
102;old;female;A;-0.919377692;-0.703287963;-0.5479722;-2.444339199;0.712514625;0.542093393;2.103939916;0.428523948;-1.815267648;2.283316673;1.997276558;-0.265225392
103;old;female;B;0.662560868;1.768375389;3.039576611;3.512374294;1.750092328;-0.699383316;0.065002692;0.320980745;-0.317276949;2.687201949;-0.531659088;2.523580051
104;old;female;C;1.531970327;2.080071865;2.941997405;1.164606691;-0.076760033;-1.107573591;-0.309190035;-0.817005307;0.007597559;0.63205435;0.496803746;0.621178081
105;young;female;C;0.542596295;-0.044144012;-0.124825773;1.702523928;0.21000038;-1.071826599;-1.772210897;-0.638327198;-1.427352158;0.40647718;-0.665340672;1.932368085
106;old;male;A;-0.847283609;-1.486830786;-4.193412302;-2.971154624;-1.264557895;0.46886246;1.09248815;2.748443226;-2.515397453;2.986142985;-0.936523724;-0.087852743
107;young;female;A;-2.969347136;-3.400554324;-2.620302207;-4.739751347;-2.269332042;-0.127202398;0.351972742;0.184897327;-5.106153696;1.30124927;-0.296414743;-1.666394628
108;young;female;C;0.672139587;0.577880784;1.77514761;1.10689758;-0.965371553;0.721822509;2.024898713;-0.988433796;-0.94004655;2.905461203;-1.288106867;-0.069834869
109;young;female;B;-0.628865324;-0.682605256;0.248959571;0.157503507;-0.464184081;-1.109791311;-2.451331785;-0.100359502;-1.447811486;0.368960147;0.723060985;-0.365268799
110;young;male;B;0.342713144;-2.059258947;-2.975290139;-1.458721146;-0.677611788;-0.742068855;-1.597417896;-0.090131395;-0.434310407;-0.793415296;-0.286992682;-0.158438082
111;old;male;C;0.443504778;-0.618843633;0.586891474;-0.210450092;0.210861048;0.229279661;-1.029918969;1.486331393;0.724665805;1.880767979;0.814687848;0.19428902
112;young;female;A;-0.695578844;-0.089819105;0.025827621;1.658933774;0.462176955;0.703497413;2.367172307;-1.177085262;-2.339664038;2.346060632;0.4208604;0.135513889
113;middle;female;A;1.005571044;1.916872214;0.666782474;0.319225432;0.839925663;1.926777208;5.058368977;1.261986787;-0.09182611;2.295436692;-1.326597205;0.369749124
114;middle;male;B;-0.100279012;-1.297381566;-1.608735463;-0.674083388;0.006399754;0.463223828;1.344388652;1.671225926;-0.600131894;-0.976505115;0.80393928;0.778548165
115;old;female;A;-0.42985921;-0.105890835;-0.083010439;-1.581980414;0.282567145;0.676366608;1.301842552;0.697544752;-0.620444719;0.488385467;-0.235552499;-1.396646099
116;young;male;A;-1.168855102;0.333244617;-2.343777013;-0.240157564;-0.296762443;1.675510595;4.184249691;-0.840712383;-1.327411771;2.09113883;-0.793427985;0.081859681
117;old;female;B;-0.804299068;0.429588885;-0.917716749;1.389747712;2.092748974;1.655307358;3.246362971;1.17972416;-1.766137672;1.666298436;0.075233609;-0.615377882
118;old;male;B;1.227662194;0.731393861;0.320069226;1.962021464;0.670829016;0.847540516;1.224165514;0.89302262;0.200682856;-0.763614971;-0.84003503;-1.062688902
119;old;female;A;0.603811964;0.371853519;-0.310721475;-0.32495044;-1.221045523;0.615138627;-0.42306132;0.045573742;0.023414214;1.025607725;-0.58166188;-1.050615891
120;young;female;B;0.724610887;0.297954277;1.472580393;0.095679954;-1.298914405;-0.384852056;-0.750515982;-0.150929049;-1.379730503;2.100506691;0.55373975;0.293390248
121;middle;male;C;-2.091064871;-1.83038299;-2.177461679;-0.903211491;-0.083911923;1.567954919;2.835593043;-0.436930526;-2.90926011;2.375999842;1.124310592;0.923392415
122;young;female;C;-0.962260731;-1.453796399;0.400648404;-0.842431224;1.328210225;0.252471722;1.879298611;-0.20726131;-0.014523557;2.164800394;-0.465544595;0.586372197
123;old;female;C;0.02101866;0.374760395;0.283019791;1.318196203;1.349647592;-0.083526142;0.407718207;-1.403564679;-1.543272189;-0.31812757;0.160192223;-0.626573649
124;middle;female;C;0.591581189;-0.730366517;-1.392719249;-1.378929861;-0.783835802;-0.556726644;-2.070109839;-1.667762723;-0.024167534;0.194555872;-0.830873929;0.504346201
125;old;female;A;-1.010820129;0.026957457;-0.293204294;1.112613439;-0.258724414;0.117882597;-0.970275961;0.169839241;-0.547752029;1.739991261;-0.277312784;-0.579593443
126;middle;male;A;-0.573315523;-0.09978762;-0.027991414;-0.90565628;1.033510747;0.321537655;0.264325566;0.509564401;0.139031569;1.407658666;-0.627693909;-0.878664331
127;old;female;C;2.292130535;1.349592908;2.082252343;1.340893414;0.400464395;-1.927321337;-3.748636308;-1.300658766;-1.0614581;-1.112922213;-0.470320233;0.298796484
128;middle;female;C;-0.193665239;1.17939895;2.128196805;1.050541362;1.611162266;-0.872479593;-0.781813118;-2.260201368;-0.337316244;0.915127174;-0.358184373;-1.271081685
129;middle;female;C;1.869752011;0.477842509;2.080612088;0.257263815;0.184213934;0.578653254;1.354237123;0.086676017;3.02423251;1.563720412;0.024341163;-0.070944863
130;young;male;B;-0.646562681;2.601072835;1.725371084;2.18300362;-1.136031204;-1.422093501;-2.427943465;-1.288205742;-1.701825984;0.667653058;-0.231351989;-0.348951468
131;old;male;A;-0.929507761;-1.246880859;-1.898714729;0.979613227;0.497336273;2.528898355;5.46932797;0.401342253;-1.934896939;1.282659373;1.578905554;-0.238184215
132;old;female;A;-1.042364127;-2.521684906;-0.165895161;-2.916150452;-1.48089269;-0.404210515;-4.50190053;-2.304916529;-2.419689968;0.103300814;1.27915021;0.225850704
133;middle;female;A;-0.200176267;1.150372059;1.202152737;-0.168812932;-1.818151173;-0.301597669;-1.302892208;1.694627078;-2.50473759;0.336759565;0.10313914;-0.632744571
134;young;male;C;2.451472829;1.758701156;2.241693443;2.211305866;0.660588386;-0.046701308;0.587837632;0.76351733;-1.508050912;-0.810534381;-1.172984297;0.623073357
135;middle;male;A;0.086324043;0.599432173;1.121797802;0.909472952;-1.035628435;-2.220016614;-3.790015056;-2.194621014;-0.867195709;0.35487414;2.327782334;-0.084251017
136;middle;female;A;0.654363318;1.34712464;1.18987126;0.835745297;0.795690828;-1.678585675;-1.535866407;0.455713416;0.320959103;-0.73370101;0.604097765;-1.500071113
137;middle;female;B;0.766199799;1.545871112;3.419437137;1.117683756;2.292922529;-1.036722853;-0.929358937;0.069336033;-0.016294373;0.374886689;0.140064677;-0.726717952
138;middle;female;A;-1.309711604;-0.990401962;-2.49365823;-0.734356899;-1.742925699;1.771708768;3.669157081;-0.118773912;-2.467705509;2.262478697;1.964465287;-0.111392048
139;old;female;A;-1.270844157;-1.322464207;-2.205880232;-2.587117857;-0.934312551;0.975094622;2.549899269;-0.315745947;-3.117914618;1.899623297;-2.319182796;-1.578856738
140;middle;female;B;-0.813820898;-1.291217969;-2.665219352;-0.180064034;0.715835148;1.052330598;1.361187843;1.056652552;-4.275587685;0.64060459;0.410492758;-1.064218849
141;middle;male;C;-0.236351777;-0.0957222;0.20059819;-1.367343556;-1.2270858;-2.24572069;-4.639061253;-0.47646699;1.294242605;-0.193524977;1.368377089;-0.893890032
142;middle;male;C;1.528150975;0.996333873;0.753974326;-1.072456769;-0.290449529;-1.114921109;-2.318802525;0.186631222;-1.113672036;-0.742758848;1.908741234;-0.885550453
143;young;female;A;0.913089673;1.199421873;0.470582193;1.31647353;0.202180537;0.404095115;0.485356288;1.376800902;-1.31537197;2.884648495;0.133501471;-2.455780616
144;young;male;B;1.06962235;2.151956783;3.085477957;3.070972818;2.56006372;-0.119541635;-0.255829248;1.995774982;-2.059362367;0.820099416;-0.692206377;1.447718001
145;old;male;C;-1.63990908;-0.984556604;-0.778717036;-0.696865246;0.535872426;0.57720891;0.437531884;-1.235857128;-2.889652085;1.391449443;0.136624795;-1.620124096
146;middle;male;C;-0.881955186;-2.602936179;-1.25531417;-2.261879699;-0.574878278;0.887601376;-0.099303356;-0.459736801;-2.251240902;1.640495132;-0.483948996;-0.794589403
147;middle;female;A;0.83630282;0.762510435;1.665007822;0.628931046;1.142571454;-0.285913264;-1.456778346;0.758993576;0.469652753;-0.193726737;0.572687508;0.161075133
148;middle;female;B;-0.141218259;0.861022769;0.537236533;1.161668794;-1.515266693;0.607150875;1.815061787;-0.043453979;0.183250834;1.661880963;0.23751118;-0.103612567
149;young;female;B;-0.994657028;-3.481285456;-1.952760166;-1.557183143;1.230735147;0.837565937;-0.208986633;1.076003606;-1.032964254;0.881720939;-0.950292684;-0.268296872
150;young;female;A;0.044649752;1.180600964;0.944362466;1.219680913;0.997126032;-0.087119539;-0.636446058;-0.986229201;-0.766915226;0.933100276;-1.553876783;-0.402746387
151;young;female;A;-0.435061714;-1.351581924;-1.917606324;-1.485990128;1.096875029;1.25374147;1.469377084;1.203612416;-1.693855422;2.30385788;-0.84709392;0.33389675
152;young;female;B;1.135343177;-1.414891108;-1.797030267;-1.54392402;0.273233778;0.522102047;1.347567216;-1.578485423;-1.153570924;-1.18661488;0.35049159;-0.17659262
153;middle;male;B;0.9774068;0.638554751;2.738537112;-0.240724557;-0.511480124;-2.477752038;-4.533276295;-0.537287872;-0.904363679;-2.47077879;0.3831825;0.144011087
154;old;female;C;-1.067590073;-0.349268219;0.606323738;0.928988454;-0.183383074;-1.066207808;-2.632310707;-1.226232935;-0.359559863;0.562629545;0.083573819;-0.725652729
155;old;female;B;-1.02674459;-0.106463314;-0.021252482;1.165170218;-0.074488341;1.193514672;3.358150923;1.250123916;-2.898679269;1.924353962;-0.079959028;0.009589395
156;young;male;C;0.495573406;0.733827266;-0.01232865;0.796155903;0.539237787;-1.572318492;-2.216554637;-1.257657932;1.276689524;-0.401898118;-1.184745819;-0.608159281
157;young;female;C;1.065789912;-1.237979479;-1.132092389;-2.044719765;-0.254571639;-0.829932983;-0.950362437;-0.044479709;-1.832011316;-1.054281027;0.221154972;0.859798203
158;middle;female;C;1.10820362;1.435078151;1.334281543;3.198047877;1.956797176;-0.746278284;-1.983064975;-1.222097508;-0.425036453;-0.555367511;1.039321456;-0.513796608
159;young;male;C;0.703149895;0.768713716;1.583354449;-1.02124573;-0.580907852;-0.542125947;0.472765697;0.150511624;-2.013866473;2.464397065;0.192557208;-0.26803493
160;old;female;C;-0.650426882;0.858623567;1.095255897;1.877834343;-0.307948524;-0.879472682;-2.255198389;1.971676069;-1.652823647;0.925255283;1.209717867;1.13638289
